Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Belgium,2025-05-20,Partly Cloudy ,22.5,10.1,0.04,21.2,Low Precipitation (Drought Risk)
Belgium,2025-05-21,Partly Cloudy ,17.6,7.5,0.0,22.7,Low Precipitation (Drought Risk)
Belgium,2025-05-22,Sunny,15.6,5.3,0.0,28.1,Low Precipitation (Drought Risk)
Belgium,2025-05-23,Patchy rain nearby,12.0,4.7,0.03,18.4,Low Precipitation (Drought Risk)
Belgium,2025-05-24,Patchy rain nearby,16.9,8.3,1.55,27.4,Low Precipitation (Drought Risk)
Belgium,2025-05-25,Patchy rain nearby,15.7,10.3,1.39,25.9,Low Precipitation (Drought Risk)
Australia,2025-05-19,Partly Cloudy ,12.2,2.1,0.02,18.4,Low Precipitation (Drought Risk)
Australia,2025-05-20,Partly Cloudy ,13.2,3.1,0.03,13.0,Low Precipitation (Drought Risk)
Australia,2025-05-21,Sunny,16.4,3.5,0.0,8.3,Low Precipitation (Drought Risk)
Australia,2025-05-22,Sunny,15.8,0.8,0.0,8.6,Low Precipitation (Drought Risk)
Australia,2025-05-23,Sunny,15.6,1.1,0.0,9.4,Low Precipitation (Drought Risk)
Australia,2025-05-24,Patchy rain nearby,16.1,6.2,0.27,10.1,Low Precipitation (Drought Risk)
Australia,2025-05-25,Cloudy ,17.0,7.5,0.0,15.8,Low Precipitation (Drought Risk)
Greece,2025-05-19,Sunny,25.1,14.4,0.0,22.7,Low Precipitation (Drought Risk)
Greece,2025-05-20,Sunny,26.6,15.5,0.0,15.5,Low Precipitation (Drought Risk)
Greece,2025-05-21,Sunny,26.3,16.9,0.0,15.1,Low Precipitation (Drought Risk)
Greece,2025-05-22,Patchy rain nearby,26.9,16.9,0.38,15.8,Low Precipitation (Drought Risk)
Greece,2025-05-23,Sunny,29.2,17.3,0.0,14.8,Low Precipitation (Drought Risk)
Greece,2025-05-24,Sunny,28.4,19.4,0.0,16.9,Low Precipitation (Drought Risk)
Greece,2025-05-25,Partly Cloudy ,29.3,19.3,0.0,13.3,Low Precipitation (Drought Risk)
New Zealand,2025-05-19,Moderate rain,10.5,7.9,11.73,35.6,Heavy Rain (Flooding Risk)
New Zealand,2025-05-20,Sunny,13.4,7.8,0.01,26.6,Low Precipitation (Drought Risk)
New Zealand,2025-05-21,Patchy rain nearby,13.2,8.3,0.11,30.2,Low Precipitation (Drought Risk)
New Zealand,2025-05-22,Patchy rain nearby,14.5,11.7,0.19,29.9,Low Precipitation (Drought Risk)
New Zealand,2025-05-23,Sunny,14.9,11.3,0.0,31.0,Low Precipitation (Drought Risk)
New Zealand,2025-05-24,Partly Cloudy ,13.5,9.9,0.01,23.4,Low Precipitation (Drought Risk)
New Zealand,2025-05-25,Sunny,13.2,8.7,0.0,15.8,Low Precipitation (Drought Risk)
Turkey,2025-05-19,Sunny,20.3,5.9,0.0,12.6,Low Precipitation (Drought Risk)
Turkey,2025-05-20,Sunny,20.5,8.0,0.0,27.4,Low Precipitation (Drought Risk)
Turkey,2025-05-21,Sunny,20.5,5.2,0.0,9.7,Low Precipitation (Drought Risk)
Turkey,2025-05-22,Sunny,25.1,9.9,0.0,14.8,Low Precipitation (Drought Risk)
Turkey,2025-05-23,Sunny,26.7,12.9,0.06,18.4,Low Precipitation (Drought Risk)
Turkey,2025-05-24,Sunny,27.4,13.1,0.0,15.1,Low Precipitation (Drought Risk)
Turkey,2025-05-25,Patchy rain nearby,29.3,14.1,0.35,17.3,Low Precipitation (Drought Risk)
Iran,2025-05-19,Sunny,33.2,22.3,0.0,13.3,Low Precipitation (Drought Risk)
Iran,2025-05-20,Sunny,33.5,25.0,0.0,15.8,Low Precipitation (Drought Risk)
Iran,2025-05-21,Sunny,33.3,24.9,0.0,23.8,Low Precipitation (Drought Risk)
Iran,2025-05-22,Sunny,32.2,24.5,0.0,23.0,Low Precipitation (Drought Risk)
Iran,2025-05-23,Sunny,29.5,22.5,0.0,13.7,Low Precipitation (Drought Risk)
Iran,2025-05-24,Patchy rain nearby,29.0,23.1,0.37,10.8,Low Precipitation (Drought Risk)
Iran,2025-05-25,Partly Cloudy ,28.9,22.8,0.06,20.5,Low Precipitation (Drought Risk)
Iraq,2025-05-19,Sunny,39.7,30.4,0.0,33.1,Low Precipitation (Drought Risk)
Iraq,2025-05-20,Sunny,39.7,26.5,0.0,27.0,Low Precipitation (Drought Risk)
Iraq,2025-05-21,Sunny,41.2,27.8,0.0,24.5,Low Precipitation (Drought Risk)
Iraq,2025-05-22,Sunny,41.1,28.2,0.0,25.2,Low Precipitation (Drought Risk)
Iraq,2025-05-23,Sunny,43.1,29.3,0.0,27.4,Low Precipitation (Drought Risk)
Iraq,2025-05-24,Sunny,42.5,30.0,0.0,31.3,Low Precipitation (Drought Risk)
Iraq,2025-05-25,Sunny,41.3,29.8,0.0,33.8,Low Precipitation (Drought Risk)
Israel,2025-05-19,Sunny,32.9,17.9,0.02,12.2,Low Precipitation (Drought Risk)
Israel,2025-05-20,Patchy rain nearby,34.3,17.9,0.27,13.3,Low Precipitation (Drought Risk)
Israel,2025-05-21,Sunny,32.5,18.7,0.05,15.1,Low Precipitation (Drought Risk)
Israel,2025-05-22,Partly Cloudy ,29.7,17.7,0.08,12.6,Low Precipitation (Drought Risk)
Israel,2025-05-23,Patchy rain nearby,28.6,16.0,1.81,11.5,Low Precipitation (Drought Risk)
Israel,2025-05-24,Patchy rain nearby,27.0,15.9,0.99,13.7,Low Precipitation (Drought Risk)
Israel,2025-05-25,Partly Cloudy ,27.2,14.8,0.0,13.3,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-19,Sunny,40.8,26.2,0.0,18.0,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-20,Sunny,41.5,28.4,0.0,27.4,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-21,Sunny,42.1,28.0,0.0,20.9,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-22,Sunny,43.5,29.0,0.0,24.1,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-23,Sunny,43.4,30.2,0.0,16.9,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-24,Sunny,42.9,31.0,0.0,16.6,Low Precipitation (Drought Risk)
Saudi Arabia,2025-05-25,Sunny,43.9,31.7,0.0,20.5,Low Precipitation (Drought Risk)
Argentina,2025-05-19,Patchy rain nearby,12.9,9.8,0.16,10.4,Low Precipitation (Drought Risk)
Argentina,2025-05-20,Sunny,15.0,8.3,0.0,7.6,Low Precipitation (Drought Risk)
Argentina,2025-05-21,Sunny,15.4,10.3,0.0,10.4,Low Precipitation (Drought Risk)
Argentina,2025-05-22,Sunny,16.0,9.3,0.0,6.5,Low Precipitation (Drought Risk)
Argentina,2025-05-23,Partly Cloudy ,16.7,11.0,0.0,12.6,Low Precipitation (Drought Risk)
Argentina,2025-05-24,Cloudy ,18.0,14.0,0.01,12.2,Low Precipitation (Drought Risk)
Argentina,2025-05-25,Sunny,20.7,13.7,0.0,7.2,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-19,Partly Cloudy ,18.0,6.8,0.01,20.9,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-20,Sunny,21.5,10.9,0.0,21.6,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-21,Sunny,22.9,15.2,0.0,23.8,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-22,Sunny,26.0,14.0,0.06,30.6,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-23,Patchy rain nearby,21.4,14.6,0.43,27.4,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-24,Patchy rain nearby,15.9,10.9,0.19,26.6,Low Precipitation (Drought Risk)
Kazakhstan,2025-05-25,Partly Cloudy ,14.6,8.3,0.04,21.2,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-19,Sunny,30.2,19.4,0.0,17.3,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-20,Sunny,33.0,19.6,0.0,13.3,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-21,Sunny,37.4,22.3,0.0,9.7,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-22,Sunny,40.0,26.0,0.0,20.5,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-23,Sunny,32.6,25.2,0.0,29.2,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-24,Sunny,33.4,20.8,0.0,25.9,Low Precipitation (Drought Risk)
Uzbekistan,2025-05-25,Sunny,32.9,21.0,0.0,10.8,Low Precipitation (Drought Risk)
Sudan,2025-05-19,Sunny,43.8,32.5,0.0,34.6,Low Precipitation (Drought Risk)
Sudan,2025-05-20,Sunny,43.4,32.3,0.0,18.0,Low Precipitation (Drought Risk)
Sudan,2025-05-21,Sunny,43.9,33.5,0.0,15.5,Low Precipitation (Drought Risk)
Sudan,2025-05-22,Sunny,43.8,33.4,0.0,13.0,Low Precipitation (Drought Risk)
Sudan,2025-05-23,Sunny,43.3,31.6,0.0,31.3,Low Precipitation (Drought Risk)
Sudan,2025-05-24,Sunny,43.1,30.2,0.0,19.8,Low Precipitation (Drought Risk)
Sudan,2025-05-25,Sunny,42.9,32.3,0.0,19.8,Low Precipitation (Drought Risk)
