Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
South Africa,2025-05-22,Sunny,20.2,8.6,0.0,16.6,Low Precipitation (Drought Risk)
South Africa,2025-05-23,Sunny,21.0,9.8,0.0,11.9,Low Precipitation (Drought Risk)
South Africa,2025-05-24,Sunny,20.1,10.5,0.0,9.0,Low Precipitation (Drought Risk)
South Africa,2025-05-25,Sunny,20.8,10.9,0.0,5.0,Low Precipitation (Drought Risk)
Pakistan,2025-05-19,Patchy rain nearby,40.8,29.0,0.23,21.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-20,Sunny,41.1,27.2,0.0,16.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-21,Sunny,42.1,29.0,0.0,16.9,Low Precipitation (Drought Risk)
Pakistan,2025-05-22,Sunny,43.8,29.8,0.04,18.4,Low Precipitation (Drought Risk)
Pakistan,2025-05-23,Sunny,44.6,31.1,0.0,17.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-24,Sunny,43.5,29.8,0.0,22.7,Low Precipitation (Drought Risk)
Pakistan,2025-05-25,Sunny,43.7,29.5,0.0,21.2,Low Precipitation (Drought Risk)
Thailand,2025-05-19,Sunny,35.8,28.6,0.06,19.8,Low Precipitation (Drought Risk)
Thailand,2025-05-20,Patchy rain nearby,35.8,28.9,2.32,20.2,Low Precipitation (Drought Risk)
Thailand,2025-05-21,Patchy rain nearby,34.7,29.4,4.07,19.1,Low Precipitation (Drought Risk)
Thailand,2025-05-22,Patchy rain nearby,37.6,28.8,3.78,19.4,Low Precipitation (Drought Risk)
Thailand,2025-05-23,Partly Cloudy ,37.3,29.8,0.0,20.5,Low Precipitation (Drought Risk)
Thailand,2025-05-24,Partly Cloudy ,36.5,29.5,0.0,20.2,Low Precipitation (Drought Risk)
Thailand,2025-05-25,Patchy rain nearby,34.9,29.4,0.88,16.2,Low Precipitation (Drought Risk)
Vietnam,2025-05-19,Moderate rain,30.9,23.5,12.76,15.8,Heavy Rain (Flooding Risk)
Vietnam,2025-05-20,Moderate rain,34.5,25.1,10.37,18.7,Heavy Rain (Flooding Risk)
Vietnam,2025-05-21,Moderate rain,35.5,25.5,6.52,19.8,No Significant Risks
Vietnam,2025-05-22,Moderate rain,33.2,26.5,5.57,15.1,No Significant Risks
Vietnam,2025-05-23,Heavy rain,31.1,25.5,23.52,8.3,Heavy Rain (Flooding Risk)
Vietnam,2025-05-24,Moderate rain,23.5,22.3,9.73,16.6,No Significant Risks
Vietnam,2025-05-25,Patchy rain nearby,26.4,22.4,0.2,11.9,Low Precipitation (Drought Risk)
India,2025-05-19,Sunny,45.1,36.3,0.0,22.0,Low Precipitation (Drought Risk)
India,2025-05-20,Sunny,44.9,34.2,0.0,22.7,Low Precipitation (Drought Risk)
India,2025-05-21,Patchy rain nearby,45.4,33.7,0.68,23.8,Low Precipitation (Drought Risk)
India,2025-05-22,Sunny,44.8,33.2,0.0,19.4,Low Precipitation (Drought Risk)
India,2025-05-23,Patchy rain nearby,45.0,36.6,0.11,19.8,Low Precipitation (Drought Risk)
India,2025-05-24,Sunny,45.4,35.1,0.0,24.8,Low Precipitation (Drought Risk)
India,2025-05-25,Sunny,45.1,34.2,0.0,14.8,Low Precipitation (Drought Risk)
Bangladesh,2025-05-19,Patchy rain nearby,35.4,24.7,1.44,21.2,Low Precipitation (Drought Risk)
Bangladesh,2025-05-20,Moderate rain,33.4,26.9,9.0,20.9,No Significant Risks
Bangladesh,2025-05-21,Moderate rain,31.5,25.8,11.83,24.8,Heavy Rain (Flooding Risk)
Bangladesh,2025-05-22,Patchy rain nearby,31.1,25.0,3.68,19.4,Low Precipitation (Drought Risk)
Bangladesh,2025-05-23,Patchy rain nearby,32.2,25.7,1.39,14.4,Low Precipitation (Drought Risk)
Bangladesh,2025-05-24,Partly Cloudy ,34.9,27.0,0.0,14.8,Low Precipitation (Drought Risk)
Bangladesh,2025-05-25,Patchy rain nearby,35.2,28.2,1.73,16.6,Low Precipitation (Drought Risk)
China,2025-05-19,Sunny,32.2,18.1,0.0,15.1,Low Precipitation (Drought Risk)
China,2025-05-20,Sunny,35.5,19.1,0.0,16.6,Low Precipitation (Drought Risk)
China,2025-05-21,Patchy rain nearby,34.8,22.5,0.14,22.7,Low Precipitation (Drought Risk)
China,2025-05-22,Patchy rain nearby,30.5,18.8,0.14,23.4,Low Precipitation (Drought Risk)
China,2025-05-23,Patchy rain nearby,25.7,17.1,0.14,14.0,Low Precipitation (Drought Risk)
China,2025-05-24,Partly Cloudy ,25.5,18.1,0.06,17.3,Low Precipitation (Drought Risk)
China,2025-05-25,Sunny,30.1,18.4,0.0,11.5,Low Precipitation (Drought Risk)
Philippines,2025-05-19,Sunny,34.8,27.6,0.01,21.2,Low Precipitation (Drought Risk)
Philippines,2025-05-20,Sunny,34.9,27.4,0.05,25.9,Low Precipitation (Drought Risk)
Philippines,2025-05-21,Patchy rain nearby,35.0,27.7,0.21,21.6,Low Precipitation (Drought Risk)
Philippines,2025-05-22,Patchy rain nearby,34.5,27.5,0.66,20.9,Low Precipitation (Drought Risk)
Philippines,2025-05-23,Partly Cloudy ,35.2,27.6,0.09,23.4,Low Precipitation (Drought Risk)
Philippines,2025-05-24,Patchy rain nearby,34.0,27.6,0.65,20.5,Low Precipitation (Drought Risk)
Philippines,2025-05-25,Patchy rain nearby,34.0,27.6,1.26,13.7,Low Precipitation (Drought Risk)
Indonesia,2025-05-19,Patchy rain nearby,33.0,27.0,2.34,13.3,Low Precipitation (Drought Risk)
Indonesia,2025-05-20,Moderate rain,32.8,26.6,13.13,15.8,Heavy Rain (Flooding Risk)
Indonesia,2025-05-21,Moderate rain,31.7,26.3,12.23,13.7,Heavy Rain (Flooding Risk)
Indonesia,2025-05-22,Moderate rain,30.2,25.7,13.13,13.0,Heavy Rain (Flooding Risk)
Indonesia,2025-05-23,Patchy rain nearby,31.5,25.3,1.39,9.0,Low Precipitation (Drought Risk)
Indonesia,2025-05-24,Patchy rain nearby,32.7,26.6,0.32,8.3,Low Precipitation (Drought Risk)
Indonesia,2025-05-25,Patchy rain nearby,32.6,26.9,0.21,16.6,Low Precipitation (Drought Risk)
Japan,2025-05-19,Patchy rain nearby,20.2,18.2,3.77,19.1,Low Precipitation (Drought Risk)
Japan,2025-05-20,Sunny,29.3,18.0,0.0,23.0,Low Precipitation (Drought Risk)
Japan,2025-05-21,Sunny,25.5,20.6,0.0,26.3,Low Precipitation (Drought Risk)
Japan,2025-05-22,Heavy rain,29.4,20.0,20.03,53.6,"Heavy Rain (Flooding Risk), Strong Wind (Crop Damage Risk)"
Japan,2025-05-23,Sunny,23.2,18.4,0.02,24.5,Low Precipitation (Drought Risk)
Japan,2025-05-24,Moderate rain,19.6,15.2,7.25,21.2,No Significant Risks
Japan,2025-05-25,Patchy rain nearby,18.6,14.6,0.82,17.6,Low Precipitation (Drought Risk)
Myanmar,2025-05-19,Patchy rain nearby,34.2,27.0,1.15,19.1,Low Precipitation (Drought Risk)
Myanmar,2025-05-20,Patchy rain nearby,33.9,27.5,2.97,19.4,Low Precipitation (Drought Risk)
Myanmar,2025-05-21,Patchy rain nearby,34.4,27.6,2.87,19.8,Low Precipitation (Drought Risk)
Myanmar,2025-05-22,Patchy rain nearby,33.9,27.4,3.32,18.7,Low Precipitation (Drought Risk)
Myanmar,2025-05-23,Moderate rain,33.1,27.5,9.49,17.3,No Significant Risks
Myanmar,2025-05-24,Moderate rain,31.1,26.5,6.15,16.6,No Significant Risks
Myanmar,2025-05-25,Moderate rain,30.7,26.3,9.01,17.6,No Significant Risks
Brazil,2025-05-19,Sunny,25.7,14.4,0.0,19.1,Low Precipitation (Drought Risk)
Brazil,2025-05-20,Sunny,26.1,13.7,0.0,15.5,Low Precipitation (Drought Risk)
Brazil,2025-05-21,Sunny,26.9,14.1,0.0,14.4,Low Precipitation (Drought Risk)
Brazil,2025-05-22,Sunny,28.5,15.5,0.0,11.5,Low Precipitation (Drought Risk)
Brazil,2025-05-23,Sunny,28.4,16.3,0.0,15.1,Low Precipitation (Drought Risk)
Brazil,2025-05-24,Sunny,28.0,17.0,0.0,19.1,Low Precipitation (Drought Risk)
